brand,model_year,milage,engine,accident,price,log_price,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gold,ext_col_Gray,ext_col_Green,ext_col_Orange,ext_col_Pink,ext_col_Purple,ext_col_Red,ext_col_Silver,ext_col_Unknown,ext_col_White,ext_col_Yellow,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gold,int_col_Gray,int_col_Green,int_col_Orange,int_col_Red,int_col_Silver,int_col_Unknown,int_col_White,int_col_Yellow,transmission_CVT,transmission_Manual,transmission_Other
37,2004,210703.0,165.0,0,2300.0,7.7406644019172415,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16,2023,3800.0,276.0,0,34000.0,10.4341158035983,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20,2022,36602.0,1.6,0,31995.0,10.37333491957356,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
35,2023,2800.0,0.0,0,92000.0,11.429543856031177,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
31,2021,2165.0,5.2,0,279950.0,12.54236629477704,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2018,33000.0,241.0,1,29900.0,10.305613759378778,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2016,76009.0,300.0,0,24950.0,10.124629101179664,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2020,31349.0,5.7,0,39366.0,10.580657778572933,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2015,48000.0,306.0,0,32900.0,10.401227936753463,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3,2005,91420.0,215.0,0,8900.0,9.093806555720231,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
